dataset,family,distribution,structure,n_samples,n_features,seed,normalized,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,connected_all_k,n_components
gamma-separated-n1000000-d10-seed42,synthetic,gamma,separated_clusters,1000000,10,42,False,1000,3,542,296,2,2,True,1
gamma-separated-n1000000-d32-seed42,synthetic,gamma,separated_clusters,1000000,32,42,False,1000,0,8007,1000,1,6,True,1
gamma-separated-n1000000-d64-seed42,synthetic,gamma,separated_clusters,1000000,64,42,False,1000,0,45675,1000,2,3,True,1
gamma-separated-n1000000-d128-seed42,synthetic,gamma,separated_clusters,1000000,128,42,False,1000,0,157924,1000,1,3,True,1
beta-separated-n1000-d2-seed42,synthetic,beta,separated_clusters,1000,2,42,False,31,13,7,7,1,1,True,1
beta-separated-n1000-d10-seed42,synthetic,beta,separated_clusters,1000,10,42,False,31,9,6,5,1,1,True,1
beta-separated-n1000-d32-seed42,synthetic,beta,separated_clusters,1000,32,42,False,31,6,10,5,1,1,True,1
beta-separated-n1000-d64-seed42,synthetic,beta,separated_clusters,1000,64,42,False,31,6,7,4,1,1,True,1
beta-separated-n1000-d128-seed42,synthetic,beta,separated_clusters,1000,128,42,False,31,4,13,11,1,1,True,1
beta-separated-n5000-d2-seed42,synthetic,beta,separated_clusters,5000,2,42,False,70,17,15,2,1,2,True,1
beta-separated-n5000-d10-seed42,synthetic,beta,separated_clusters,5000,10,42,False,70,6,31,9,1,1,True,1
beta-separated-n5000-d32-seed42,synthetic,beta,separated_clusters,5000,32,42,False,70,2,42,17,1,1,True,1
beta-separated-n5000-d64-seed42,synthetic,beta,separated_clusters,5000,64,42,False,70,1,64,22,1,1,True,1
beta-separated-n5000-d128-seed42,synthetic,beta,separated_clusters,5000,128,42,False,70,0,74,70,1,1,True,1
beta-separated-n10000-d2-seed42,synthetic,beta,separated_clusters,10000,2,42,False,100,17,15,12,1,1,True,1
