dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,random_sqrt_clique,100000,2,42.0,False,2,50,49,False,0.0,457,48266,51,5049770,316,316,0,44085,316,1,8,11.3303602019987,14.214728379996814
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,score_sg_antihub,100000,2,42.0,False,2,50,49,False,0.0,617,13319,51,5049770,316,316,0,44085,316,1,8,11.3303602019987,13.212792690999777
poisson-separated-n100000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,10,42.0,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,2,302,31,1,1,23.209170004000043,12.708103146000212
poisson-separated-n100000-d32-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,32,42.0,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,0,1614,316,1,1,24.55640254500031,12.85855996400278
poisson-separated-n100000-d64-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,64,42.0,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,0,4505,316,1,1,28.93567394099955,12.75257491100274
poisson-separated-n100000-d128-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,128,42.0,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,0,8502,316,1,1,36.23620536800081,12.586665481998352
poisson-iid-n200000-d2-seed42,synthetic,poisson,iid,approx_knn_only,200000,2,42.0,False,2,50,49,False,0.0,818,6239,51,10000000,0,447,0,121990,447,13,42,32.64636419899762,26.004252888000337
poisson-iid-n200000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,200000,2,42.0,False,2,50,49,False,0.0,564,109954,51,10099681,447,447,0,121990,447,13,42,32.64636419899762,26.358299006999005
poisson-iid-n200000-d2-seed42,synthetic,poisson,iid,score_sg_antihub,200000,2,42.0,False,2,50,49,False,0.0,778,50800,51,10099681,447,447,0,121990,447,13,42,32.64636419899762,26.32254551699953
poisson-separated-n200000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,200000,2,42.0,False,2,50,49,False,0.0,1269,2537,51,10000000,0,447,0,111070,447,88,99,22.304305589997966,26.851185488998453
poisson-separated-n200000-d2-seed42,synthetic,poisson,separated_clusters,random_sqrt_clique,200000,2,42.0,False,2,50,49,False,0.0,921,75078,51,10099681,447,447,0,111070,447,88,99,22.304305589997966,28.044632911001827
poisson-separated-n200000-d2-seed42,synthetic,poisson,separated_clusters,score_sg_antihub,200000,2,42.0,False,2,50,49,False,0.0,1189,12930,51,10099681,447,447,0,111070,447,88,99,22.304305589997966,27.513178732999226
poisson-separated-n200000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,200000,10,42.0,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,1,321,312,1,1,47.34534101100144,25.296230394000304
poisson-separated-n200000-d32-seed42,synthetic,poisson,separated_clusters,approx_knn_only,200000,32,42.0,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,0,3459,447,1,1,55.5409813059996,26.364949013001024
poisson-separated-n200000-d64-seed42,synthetic,poisson,separated_clusters,approx_knn_only,200000,64,42.0,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,0,9846,447,1,1,65.21991933200115,25.35125796799912
poisson-separated-n200000-d128-seed42,synthetic,poisson,separated_clusters,approx_knn_only,200000,128,42.0,False,2,50,49,False,0.0,6,33334,33333,10000000,0,447,0,20311,447,2,2,81.71921426599874,26.319289461000157
poisson-iid-n500000-d2-seed42,synthetic,poisson,iid,approx_knn_only,500000,2,42.0,False,2,50,49,False,0.0,2291,15323,51,25000000,0,707,0,339043,707,41,68,55.825329996998335,65.93831714800035
poisson-iid-n500000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,500000,2,42.0,False,2,50,49,False,0.0,1776,191771,51,25249571,707,707,0,339043,707,41,68,55.825329996998335,66.31726366100338
poisson-iid-n500000-d2-seed42,synthetic,poisson,iid,score_sg_antihub,500000,2,42.0,False,2,50,49,False,0.0,2236,65650,51,25249571,707,707,0,339043,707,41,68,55.825329996998335,66.2886633809976
poisson-separated-n500000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,500000,2,42.0,False,2,50,49,False,0.0,3046,2568,51,25000000,0,707,0,303987,707,8,18,38.91969463100031,65.84993631500038
poisson-separated-n500000-d2-seed42,synthetic,poisson,separated_clusters,random_sqrt_clique,500000,2,42.0,False,2,50,49,False,0.0,2455,131777,51,25249571,707,707,0,303987,707,8,18,38.91969463100031,67.81642096599899
poisson-separated-n500000-d2-seed42,synthetic,poisson,separated_clusters,score_sg_antihub,500000,2,42.0,False,2,50,49,False,0.0,2925,37498,51,25249571,707,707,0,303987,707,8,18,38.91969463100031,69.21466940699975
poisson-separated-n500000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,500000,10,42.0,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,1,607,452,2,2,119.85502485100004,64.74332012099694
poisson-separated-n500000-d32-seed42,synthetic,poisson,separated_clusters,approx_knn_only,500000,32,42.0,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,0,8780,707,4,4,151.5083032950024,64.9363773139994
poisson-separated-n500000-d64-seed42,synthetic,poisson,separated_clusters,approx_knn_only,500000,64,42.0,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,0,28407,707,1,2,196.595382558,64.28535900000134
poisson-separated-n500000-d128-seed42,synthetic,poisson,separated_clusters,approx_knn_only,500000,128,42.0,False,2,50,49,False,0.0,6,83334,83333,25000000,0,707,0,65460,707,1,1,230.32514676500068,64.63916134600004
poisson-iid-n1000000-d2-seed42,synthetic,poisson,iid,approx_knn_only,1000000,2,42.0,False,2,50,49,False,0.0,4620,24642,51,50000000,0,1000,0,692367,1000,7,25,96.56860901400069,140.2431590289998
poisson-iid-n1000000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,1000000,2,42.0,False,2,50,49,False,0.0,3856,315895,51,50499500,1000,1000,0,692367,1000,7,25,96.56860901400069,138.69589649200134
poisson-iid-n1000000-d2-seed42,synthetic,poisson,iid,score_sg_antihub,1000000,2,42.0,False,2,50,49,False,0.0,4555,143976,51,50499500,1000,1000,0,692367,1000,7,25,96.56860901400069,136.5352678570016
